工作計畫名稱及預算數(僅列補助團體私人預算金額),補助事項或用途,補助對象(團體全銜或私人姓名)        ,核准日期,補助計畫案總經費及分攤情形-本機關補助金額,補助計畫案總經費及分攤情形-他機關補助金額,補助計畫案總經費及分攤情形-團體或私人自付金額,補助計畫案總經費及分攤情形-合計,截至本季累計撥款金額,分攤補助款機關名稱及金額(請逐一填列),有無涉及財物或勞務採購,處理方式(如未涉及採購則毋須填列如採公開招標請填列得標廠商),是否為除外規定之民間團體-是,是否為除外規定之民間團體-否,,,,,
,支慈濟國中學生參加108學年度全國學生舞蹈決賽,慈濟學校財團法人慈濟大學附屬高級中學,109/01/20,"1,611 ",0 ,0 ,"1,611 ","1,611 ",,無,,v,,,,,,
中央政府補助社會教育經費,支教育部補助花蓮縣社區大學109年度經費(經常門),財團法人花蓮縣社區大學教育基金會,109/06/05,"1,203,000 ",0 ,0 ,"1,203,000 ","1,203,000 ",,無,,v,,,,,,
體育管理及獎補助     (34383000元),支辦理109年花蓮縣基層體育績優團體表揚大會活動經費,花蓮縣體育會,109/01/06,"700,000 ",0 ,"200,000 ","900,000 ","700,000 ",,無,,v,,,,,,
,支辦理109年花蓮縣第10屆新春盃慢速壘球錦標賽活動經費,花蓮縣慢速壘球協會,109/01/06,"400,000 ",0 ,"100,000 ","500,000 ","400,000 ",,無,,v,,,,,,
,補助辦理109年鳳林鎮國中國小軟網學生寒假培訓活動經費,花蓮縣鳳林鎮體育會,109/01/22,"35,800 ",0 ,"86,400 ","122,200 ","35,800 ",,無,,v,,,,,,
,補助辦理108年花蓮縣縣長盃熱舞大賽活動經費,花蓮縣體育會,108/09/10,"800,000 ",0 ,"200,000 ","1,000,000 ","800,000 ",,無,,v,,,,,,
,補助辦理109年花蓮縣縣長盃(上半年)28項體育活動經費,花蓮縣體育會,109/01/17,"2,380,000 ",0 ,0 ,"2,380,000 ","2,380,000 ",,無,,v,,,,,,
,補助辦理109年花蓮縣樂活盃(上半年)14項體育活動經費,花蓮縣體育會,109/01/17,"870,000 ",0 ,0 ,"870,000 ","870,000 ",,無,,v,,,,,,
,補助辦理109年花蓮縣裁判教練講習(上半年)9項活動經費,花蓮縣體育會,109/01/17,"180,000 ",0 ,0 ,"180,000 ","180,000 ",,無,,v,,,,,,
,補助辦理109年(上半年)全國性及國際性體育活動經費,花蓮縣體育會,109/01/17,"680,000 ",0 ,0 ,"680,000 ","680,000 ",,無,,v,,,,,,
,補助辦理108年全國沙灘排球錦標賽活動經費,花蓮縣體育會,109/12/04,"20,000 ",0 ,"9,450 ","29,450 ","20,000 ",,無,,v,,,,,,
,補助辦理2019年第十五屆志堅盃全國太極拳錦標賽等4項活動經費,花蓮縣體育會,108/12/06,"169,764 ",0 ,"120,600 ","290,364 ","169,764 ",,無,,v,,,,,,
,補助辦理108年BOTY世界霹靂舞大賽台灣資格賽活動經費,臺中市北屯區體育會,109/03/09,"360,000 ","1,680,000 ","2,460,000 ","4,500,000 ","360,000 ",1.交通部觀光局 10萬元 2.法務部 8萬元 3.花蓮縣體育會(本府補助) 150萬元,無,,v,,,,,,
,補助辦理108學年度第11屆國中小學生普及化運動計畫大隊接力花蓮縣複賽活動經費,花蓮縣體育會,109/01/30,"190,000 ","30,000 ","55,150 ","275,150 ","190,000 ",體育署3萬元,無,,v,,,,,,
,補助辦理109年校園水域安全宣導實施計畫經費,花蓮縣體育會,109/03/05,"497,000 ",0 ,0 ,"497,000 ","497,000 ",,無,,v,,,,,,
,補助辦理108學年度國民小學籃球聯賽縣市預賽活動經費,花蓮縣體育會,109/02/05,"70,000 ","30,000 ","31,000 ","131,000 ","70,000 ",體育署3萬元,無,,v,,,,,,
,補助辦理109年運動i臺灣計畫專案經費,花蓮縣體育會,109/05/29,"2,500,000 ",0 ,0 ,"2,500,000 ","2,500,000 ",,無,,v,,,,,,
,補助辦理109年花蓮女子足球隊計畫經費,花蓮縣體育會,109/04/23,"3,000,000 ","3,300,000 ","100,000 ","6,400,000 ","3,000,000 ",體育署330萬元,無,,v,,,,,,
,補助辦理2020世紀飛天龍 鯉魚展競技 龍舟競渡嘉年華活動經費,花蓮縣體育會,109/05/26,"2,500,000 ",0 ,0 ,"2,500,000 ","2,500,000 ",,無,,v,,,,,,
,補助辦理109年全國青年盃中小學軟式網球錦標賽經費,花蓮縣體育會,109/04/22,"328,600 ",0 ,0 ,"328,600 ","328,600 ",,無,,v,,,,,,
衛生管理及獎補助     (30000元),,,,,,,0 ,,,,,,,,,,,
中央政府補助體育教學及活動經費,補助海星中學參加中職30週年特展-無人出局(高雄場)經費,財團法人臺灣省花蓮縣私立海星高級中學,109/02/20,"18,848 ",0 ,"4,712 ","23,560 ","18,848 ",,無,,v,,,,,,
,補助辦理108學年度第11屆國中小學生普及化運動計畫大隊接力花蓮縣複賽活動經費,花蓮縣體育會,109/01/30,"30,000 ",0 ,0 ,"30,000 ","30,000 ",,無,,v,,,,,,
,補助辦理108學年度國民小學籃球聯賽縣市預賽活動經費,花蓮縣體育會,109/02/05,"30,000 ",0 ,0 ,"30,000 ","30,000 ",,無,,v,,,,,,
,補助109年度深耕基層棒球扎根工作培訓計畫-區域對抗賽,花蓮縣體育會,109/03/11,"60,000 ",0 ,0 ,"60,000 ","60,000 ",,無,,v,,,,,,
,補助109年度深耕基層棒球扎根工作培訓計畫,財團法人臺灣省花蓮縣私立海星高級中學,109/03/11,"380,000 ",0 ,0 ,"380,000 ","380,000 ",,無,,v,,,,,,
,補助花蓮縣體育會辦理109年運動i臺灣計畫專案經費,花蓮縣體育會,109/05/29,"16,734,400 ",0 ,0 ,"16,734,400 ","16,734,400 ",,無,,v,,,,,,
其他設備(393000元),,,,,,,0 ,,,,,,,,,,,
中央政府補助建築及設備經費(1625000元),支補助辦理109年花蓮縣數位機會中心營運計畫經費,花蓮縣布農文化教育關懷協會,109/3/2,"28,000 ",0 ,0 ,"28,000 ","28,000 ",,無,,v,,,,,,
,補助DOC辦理109年花蓮縣數位機會中心營運計畫經費,社團法人花蓮縣牛犁社區交流協會,109/3/2,"45,000 ",0 ,0 ,"45,000 ","45,000 ",,無,,v,,,,,,
,支教育部補助花蓮縣社區大學109年度經費(資本門),財團法人花蓮縣社區大學教育基金會,109/06/05,"245,000 ",0 ,0 ,"245,000 ","245,000 ",,無,,v,,,,,,
合計,,,,"68,330,787 ","5,125,000 ","4,800,139 ","78,255,926 ","68,330,787 ",,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
